                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.95791,                 1.9954,                 1.0286,                 1.2708,                 0.6865,                0.58418,                0.61299,                0.40267,                0.67391,                 0.5592,                0.57987,                0.35036,                 1.2795,                 2.1919,                 1.3668,                 1.4231,              0.0012994,              0.0012994,              0.0012994
                     25,                0.95761,                 1.9379,                 1.0175,                 1.2683,                0.77823,                 0.5481,                0.63338,                 0.4295,                0.72231,                  0.545,                0.58753,                0.34668,                 1.2729,                 2.2038,                 1.3494,                 1.4048,              0.0012689,              0.0012689,              0.0012689
                     26,                0.93704,                 1.9009,                0.97821,                 1.2503,                0.75549,                0.58464,                0.64887,                 0.4472,                0.74818,                0.57401,                0.62464,                0.38224,                 1.2503,                 2.0854,                 1.3141,                  1.385,              0.0012385,              0.0012385,              0.0012385
                     27,                0.92048,                 1.8987,                0.97221,                 1.2499,                0.71836,                0.58141,                0.64456,                0.43263,                0.68896,                0.56429,                0.60312,                0.35929,                  1.272,                 2.2134,                 1.2972,                 1.3818,               0.001208,               0.001208,               0.001208
                     28,                0.91716,                 1.8729,                0.95863,                 1.2414,                0.73845,                0.58233,                0.64162,                 0.4282,                0.72144,                0.56892,                0.61944,                0.36679,                 1.2559,                 2.1085,                 1.2642,                 1.3818,              0.0011775,              0.0011775,              0.0011775
                     29,                0.89961,                 1.8151,                0.93303,                 1.2267,                 0.7589,                0.61101,                0.66857,                0.46296,                0.72726,                0.59991,                0.63718,                0.38541,                 1.2132,                 2.1015,                 1.2427,                 1.3547,              0.0011471,              0.0011471,              0.0011471
                     30,                0.89563,                 1.8136,                0.93781,                 1.2309,                0.77703,                0.61147,                0.67939,                0.47136,                0.75359,                0.60731,                0.65471,                0.40012,                 1.1918,                 2.0406,                 1.2232,                 1.3215,              0.0011166,              0.0011166,              0.0011166
                     31,                0.89209,                 1.8139,                0.92006,                 1.2266,                0.79212,                0.61378,                0.69298,                0.47735,                0.77722,                0.60083,                0.65763,                0.40491,                 1.2133,                 2.0005,                 1.1715,                 1.3359,              0.0010862,              0.0010862,              0.0010862
                     32,                0.87063,                 1.7966,                0.90756,                 1.2151,                0.78486,                0.58418,                0.68508,                0.47133,                0.71888,                0.57909,                0.63348,                0.38635,                  1.204,                 2.0773,                  1.197,                 1.3188,              0.0010557,              0.0010557,              0.0010557
                     33,                0.85861,                 1.7753,                0.88215,                 1.2082,                0.81104,                0.60315,                0.68933,                0.48341,                0.79176,                0.58881,                0.66059,                0.40501,                 1.1652,                 2.0117,                 1.1792,                 1.3037,              0.0010252,              0.0010252,              0.0010252
                     34,                0.86345,                 1.7363,                0.88531,                 1.2072,                0.77028,                0.64208,                0.69417,                0.49229,                0.75907,                0.64015,                0.67948,                0.41634,                 1.1601,                 2.0078,                 1.1535,                  1.303,             0.00099477,             0.00099477,             0.00099477
                     35,                0.84813,                 1.7457,                0.86907,                 1.1995,                0.76375,                0.61425,                0.68505,                0.48155,                0.76045,                0.60642,                  0.667,                0.40417,                 1.1466,                 2.0206,                 1.1807,                 1.2947,             0.00096431,             0.00096431,             0.00096431
                     36,                0.84357,                 1.6997,                0.86158,                 1.1899,                0.82269,                0.60736,                0.69627,                 0.4924,                0.79897,                0.59852,                0.66158,                0.41148,                 1.1503,                 2.0376,                 1.1711,                 1.2979,             0.00093385,             0.00093385,             0.00093385
                     37,                 0.8319,                 1.7101,                 0.8559,                 1.1882,                0.80024,                0.64061,                0.71747,                0.50719,                0.77605,                0.62672,                0.68151,                0.42453,                 1.1018,                 1.9397,                 1.0822,                 1.2458,             0.00090338,             0.00090338,             0.00090338
                     38,                 0.8339,                  1.706,                0.84345,                   1.19,                0.81544,                0.62905,                0.71327,                0.51452,                0.80208,                 0.6161,                0.68959,                0.43273,                 1.0822,                 1.9044,                 1.1122,                 1.2238,             0.00087292,             0.00087292,             0.00087292
                     39,                0.81621,                 1.6815,                0.83588,                 1.1773,                0.80604,                0.64967,                0.73277,                0.52937,                0.78985,                0.64755,                0.71202,                0.44568,                 1.0736,                 1.8599,                 1.0478,                 1.2103,             0.00084246,             0.00084246,             0.00084246
                     40,                 0.8199,                 1.6563,                0.82176,                 1.1733,                0.80855,                 0.6568,                0.72855,                0.51557,                 0.7855,                0.63858,                0.69042,                0.42936,                 1.1174,                 1.9627,                  1.068,                 1.2559,               0.000812,               0.000812,               0.000812
                     41,                0.81702,                 1.6635,                0.82362,                 1.1726,                0.80921,                0.65129,                0.72035,                0.51927,                0.78658,                0.64267,                0.69696,                0.44166,                 1.0781,                 1.8817,                 1.0786,                 1.2214,             0.00078154,             0.00078154,             0.00078154
                     42,                0.81858,                 1.6428,                0.82123,                 1.1741,                0.81273,                0.65217,                0.72437,                0.52344,                0.80796,                 0.6309,                 0.7012,                0.44628,                 1.0711,                 1.8799,                 1.0911,                 1.2156,             0.00075108,             0.00075108,             0.00075108
                     43,                0.80381,                 1.5993,                0.80146,                 1.1603,                0.84045,                 0.6408,                0.72651,                 0.5252,                0.82443,                0.62858,                0.70582,                0.44496,                 1.0669,                 1.8994,                 1.0818,                 1.2183,             0.00072062,             0.00072062,             0.00072062
                     44,                0.79894,                 1.6189,                0.80677,                 1.1586,                0.81542,                0.64571,                0.71548,                0.52022,                0.78405,                0.63647,                0.69084,                0.44268,                 1.0814,                 1.9379,                  1.125,                 1.2335,             0.00069015,             0.00069015,             0.00069015
                     45,                 0.7887,                 1.5667,                0.78496,                 1.1505,                0.81483,                0.66929,                0.72753,                0.53047,                0.79658,                0.66281,                0.71212,                0.44912,                 1.0472,                 1.8138,                 1.0415,                 1.1967,             0.00065969,             0.00065969,             0.00065969
                     46,                0.78986,                 1.5807,                0.78292,                 1.1519,                0.79607,                0.68825,                0.74914,                0.54991,                0.80218,                0.67709,                0.73076,                0.46944,                  1.027,                 1.8011,                0.99038,                  1.177,             0.00062923,             0.00062923,             0.00062923
                     47,                0.77175,                  1.547,                0.75824,                 1.1461,                0.84956,                0.66698,                0.75569,                0.55486,                0.82563,                 0.6642,                0.73528,                0.46899,                 1.0269,                 1.7916,                0.96941,                 1.1692,             0.00059877,             0.00059877,             0.00059877
                     48,                0.77259,                 1.5707,                0.76706,                 1.1437,                0.86153,                0.67576,                0.76023,                0.55758,                0.85042,                 0.6732,                0.74431,                0.47794,                 1.0296,                 1.7864,                0.97341,                  1.174,             0.00056831,             0.00056831,             0.00056831
